station_name,time,capacity,available_mechanical,available_electrical,station_geo,operative,ts_hour,pluie,vent,soleil,nuage,date,holiday_flag,available_total,docks_available,fill_rate,target_empty,target_full,hour,day_of_week,rolling_fill_rate,is_weekend
 Jean Bleuzen - Square du 11 Novembre,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
 Place Léon Gambetta,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
11 Novembre 1918 - 8 Mai 1945,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
18 juin 1940 - Buzenval,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
8 Mai 1945 - 10 Juillet 1940,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Abbeville - Faubourg Poissonnière,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Abbé Carton - Plantes,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Abbé Groult - Convention,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Aboukir - Alexandrie,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Adolphe Lalyre - Armand Silvestre,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Adolphe Pinard - Victor Hugo,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Alexander Fleming - Belvédère,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Alexandre Dumas - Place de la Réunion,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Alexandre Dumas - Voltaire,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Alexandre Parodi - Quai de Valmy,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Alfred Roll - Berthier,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Alfred de Vigny - Place du Général Brocard,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Alger - Rivoli,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Alibert - Jemmapes,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Alouettes - Maréchal de Lattre de Tassigny,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Alésia - Suisses,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Amaury Duval - Gabriel Péri,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Ambroise Rendu - Porte Brunet,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Amelot - Saint-Sébastien,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Amédée Huon - Fort d'Ivry,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Anatole France - Jean Lolive,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Anatole France - Louise Michel,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Anatole France - President Roosevelt,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Ancien Canal - Hélène Brion,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Ancienne Mairie - André Morizet,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
André Karman - République,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
André Maurois - Joseph et Marie Hackin,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
André Mazet - Saint-André des Arts,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
André Theuriet - Blagis,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Aqueduc - Villette,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Arago - Glacière,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
Arago - Paul Lafargue,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680
Arche - Léonard de Vinci,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866,7866
