latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
48.86,2.3399997,43.0,0,GMT,GMT

time,temperature_2m (°C)
2025-10-13T00:00,11.7
2025-10-13T01:00,11.3
2025-10-13T02:00,11.0
2025-10-13T03:00,10.7
2025-10-13T04:00,10.5
2025-10-13T05:00,10.8
2025-10-13T06:00,11.2
2025-10-13T07:00,11.5
2025-10-13T08:00,12.5
2025-10-13T09:00,14.1
2025-10-13T10:00,15.1
2025-10-13T11:00,16.1
2025-10-13T12:00,15.6
2025-10-13T13:00,16.6
2025-10-13T14:00,17.1
2025-10-13T15:00,17.0
2025-10-13T16:00,16.6
2025-10-13T17:00,16.5
2025-10-13T18:00,15.8
2025-10-13T19:00,15.0
2025-10-13T20:00,14.2
2025-10-13T21:00,14.0
2025-10-13T22:00,13.6
2025-10-13T23:00,13.4
2025-10-14T00:00,13.6
2025-10-14T01:00,13.8
2025-10-14T02:00,13.6
2025-10-14T03:00,13.6
2025-10-14T04:00,13.2
2025-10-14T05:00,12.8
2025-10-14T06:00,12.9
2025-10-14T07:00,12.8
2025-10-14T08:00,13.4
2025-10-14T09:00,14.3
2025-10-14T10:00,15.4
2025-10-14T11:00,16.4
2025-10-14T12:00,17.2
2025-10-14T13:00,17.6
2025-10-14T14:00,17.6
2025-10-14T15:00,17.2
2025-10-14T16:00,16.8
2025-10-14T17:00,16.0
2025-10-14T18:00,15.1
2025-10-14T19:00,14.7
2025-10-14T20:00,14.3
2025-10-14T21:00,13.9
2025-10-14T22:00,13.4
2025-10-14T23:00,12.7
